ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2416571,"Chalupki",2450,180,"34U","34U2H1S3Q",2,2019-11-21 04:39:48.5570000,300,1007296,0,2020-04-25 00:29:34.6470000,50.033330,18.500000
2418100,"Niewiadom",2450,180,"34U","34U2H1S3Q",3,2014-09-30 17:55:29.8930000,1200,645,96032,2020-04-25 00:29:54.1630000,50.066670,18.483330
2417824,"Niedobczyce",2450,180,"34U","34U2H1S3Q",3,2017-02-09 13:04:36.2030000,545,0,97696,2020-04-25 00:30:01.2470000,50.065400,18.495310
2528184,"Podkaczy Dol",2440,180,"34U","34U1H5S4Q",3,2014-08-18 23:51:50.3730000,0,3284,632564,2020-04-25 02:04:16.2970000,52.216670,21.200000
2527333,"Zagorze",2440,180,"34U","34U1H5S4Q",3,2017-01-10 15:25:45.6370000,0,2876,454340,2020-04-25 02:04:20.1470000,52.200000,21.250000
2527560,"Majdan",2440,180,"34U","34U1H5S4Q",3,2014-06-20 13:50:23.4530000,0,5539,611699,2020-04-25 02:04:23.6400000,52.202660,21.268330
2526122,"Aleksandrow",2440,180,"34U","34U1H5S4Q",3,2014-08-31 14:16:19.5770000,0,3247,430737,2020-04-25 02:39:33.6470000,52.175830,21.226620
2525103,"Michalin",2440,180,"34U","34U1H5S4Q",3,2015-12-11 13:00:38.2000000,0,5845,867250,2020-04-25 02:39:43.9870000,52.153190,21.229530
2524511,"Jaroslaw Pn.",2440,180,"34U","34U1H5S4Q",3,2017-09-07 20:00:24.5830000,0,7355,270115,2020-04-25 02:39:52.5000000,52.144390,21.241210
2524354,"Mladz",2440,180,"34U","34U1H5S4Q",3,2014-07-24 08:18:58.8870000,0,6652,402407,2020-04-25 02:39:56.4700000,52.139860,21.290820
2524000,"Bialek",2440,180,"34U","34U1H5S4Q",3,2018-06-15 10:22:04.6470000,0,3866,395058,2020-04-25 02:39:59.9700000,52.133330,21.283330
2523691,"Teklin",2440,180,"34U","34U1H5S4Q",3,2018-08-14 22:42:29.4200000,0,4987,427166,2020-04-25 02:40:03.2900000,52.129960,21.292790
2529347,"Groszowka",2440,180,"34U","34U1H5S4Q",3,2017-12-20 13:57:04.4000000,0,7354,288125,2020-04-25 04:30:06.3600000,52.238630,21.210480
2527101,"Zbytki",2440,180,"34U","34U1H5S4Q",3,2017-05-31 04:01:34.3070000,0,7361,504925,2020-04-25 04:30:13.7130000,52.199090,21.127740
2526999,"Zerzen",2440,180,"34U","34U1H5S4Q",3,2014-11-24 14:24:10.0530000,0,3309,918989,2020-04-25 04:30:18.4600000,52.195510,21.137180
2526764,"Kuligow",2440,180,"34U","34U1H5S4Q",3,2016-01-20 14:53:08.5500000,0,4669,553814,2020-04-25 04:30:22.2870000,52.187830,21.132720
2526513,"Wolka Zerzenska",2440,180,"34U","34U1H5S4Q",3,2014-10-31 08:01:01.1900000,0,3090,589000,2020-04-25 04:30:25.8530000,52.183330,21.150000
2525702,"Miedzeszyn",2440,180,"34U","34U1H5S4Q",3,2017-01-21 18:31:27.3670000,0,4766,508143,2020-04-25 04:30:28.9800000,52.166670,21.150000
2525086,"Blota",2440,180,"34U","34U1H5S4Q",3,2017-04-02 17:48:41.0230000,0,5375,496690,2020-04-25 04:30:33.9030000,52.152770,21.182330
2522338,"Srodborow",2440,180,"34U","34U1H5S4Q",3,2017-10-07 11:08:43.1370000,0,2718,474827,2020-04-25 05:02:15.1030000,52.100000,21.316670
2522987,"Jablonna",2440,180,"34U","34U1H5S4Q",3,2018-06-27 22:03:36.7400000,0,2392,373594,2020-04-25 05:02:23.0230000,52.116100,21.314330
2522642,"Otwock",2440,180,"34U","34U1H5S4Q",3,2014-08-01 23:01:13.5600000,0,8584,1336634,2020-04-25 05:02:28.3230000,52.105770,21.261290
2523188,"Swider",2440,180,"34U","34U1H5S4Q",3,2014-07-24 20:51:41.2730000,0,1754,502072,2020-04-25 05:02:37.8900000,52.116670,21.250000
2523715,"Jaroslaw Pd.",2440,180,"34U","34U1H5S4Q",3,2014-07-30 12:35:09.0700000,0,3411,465181,2020-04-25 05:02:44.2730000,52.130640,21.226270
